Name,5/1/2014,5/2/2014,5/5/2014,5/6/2014,5/7/2014
360T,0,0,0,0,0
BBG,0.487585235,0.370587531,0.264190463,0.182919071,0.216825874
ICE,0,0,0,0,0
Integral,0,0,0,0,0
Javelin,0.001078919,0.000106365,0,0,0.000464461
MarketAxess,0,0,0,0,0
Reuters,0,0,0,0,0
SwapEx,0,0,0,0,0
TW,0.089075582,0.082990972,0,0.031626301,0.063120249
Tera,0,0,0,0,0
TrueEX,0.001438559,1.32956E-05,0.03860923,0,4.64461E-05
BGC,0.068532957,0.082312898,0.02918383,0.060548916,0.05787184
DW,0.010472711,0.013627963,0.010472666,0.033671105,0.024384202
GFI,0.00597002,0,0.021399148,0.002840005,0.061014692
ICAP,0.072575309,0.106524138,0.162815053,0.282728223,0.1264108
TP,0.096383462,0.164905003,0.151644209,0.20309447,0.202226316
Tradition,0.166887246,0.178931834,0.321685401,0.202571909,0.247635119
